<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,5,20170131,193000,121.11,121.15,120.99,120.99,34208
US2.AAPL,5,20170131,193500,120.99,121.08,120.95,121.01,43530
US2.AAPL,5,20170131,194000,121.01,121.12,120.97,121.07,32138
US2.AAPL,5,20170131,194500,121.07,121.21,121.07,121.15,25272
US2.AAPL,5,20170131,195000,121.16,121.17,121.11,121.15,29323
US2.AAPL,5,20170131,195500,121.15,121.2,121.14,121.2,48036
US2.AAPL,5,20170131,200000,121.2,121.22,121.12,121.12,27701
US2.AAPL,5,20170131,200500,121.12,121.12,121.015,121.02,32619
US2.AAPL,5,20170131,201000,121.02,121.09,121.02,121.075,32886
US2.AAPL,5,20170131,201500,121.08,121.08,121.03,121.04,39691
US2.AAPL,5,20170131,202000,121.04,121.11,121.04,121.07,32992
US2.AAPL,5,20170131,202500,121.06,121.1,121.05,121.09,26441
US2.AAPL,5,20170131,203000,121.09,121.19,121.09,121.18,34717
US2.AAPL,5,20170131,203500,121.19,121.205,121.15,121.17,21880
US2.AAPL,5,20170131,204000,121.165,121.22,121.14,121.14,33541
US2.AAPL,5,20170131,204500,121.135,121.18,121.1,121.16,41314
US2.AAPL,5,20170131,205000,121.15,121.155,121.11,121.14,16215
US2.AAPL,5,20170131,205500,121.14,121.19,121.14,121.16,12524
US2.AAPL,5,20170131,210000,121.16,121.165,121.11,121.11,16583
US2.AAPL,5,20170131,210500,121.115,121.17,121.115,121.13,31725
US2.AAPL,5,20170131,211000,121.12,121.14,121.085,121.1,26039
US2.AAPL,5,20170131,211500,121.1,121.1,120.95,120.95,91208
US2.AAPL,5,20170131,212000,120.95,120.99,120.91,120.91,25244
US2.AAPL,5,20170131,212500,120.91,120.99,120.9,120.99,49185
US2.AAPL,5,20170131,213000,120.99,120.99,120.92,120.97,59022
US2.AAPL,5,20170131,213500,120.97,120.99,120.85,120.86,54470
US2.AAPL,5,20170131,214000,120.86,120.88,120.83,120.84,33970
US2.AAPL,5,20170131,214500,120.845,120.87,120.83,120.85,66042
US2.AAPL,5,20170131,215000,120.85,120.89,120.83,120.85,30010
US2.AAPL,5,20170131,215500,120.865,120.89,120.8,120.8,14467
US2.AAPL,5,20170131,220000,120.805,120.81,120.65,120.68,56184
